Name,Winner,2nd
Jeff Jackson,+,TRUE
Steven W. Norton,-,FALSE
R. Bharat Rao,-,FALSE
Matthias Heger,+,TRUE
Nicolo Cesa-Bianchi,+,TRUE
David Montgomery,+,TRUE
Patricia J. Riddle,+,TRUE
J. Jeffrey Mahoney,-,FALSE
Kazushi Ikeda,+,TRUE
Thomas G. Dietterich,-,FALSE
Pang-Chieh Chen,+,TRUE
Paul Utgoff,+,TRUE
Joseph O'Sullivan,+,TRUE
Toshiyasu Matsushima,+,TRUE
Timothy P. Barber,+,TRUE
Phil Long,-,FALSE
Tal Grossman,+,TRUE
Donna Slonim,+,TRUE
Tatsuo Unemi,+,TRUE
Krishnan Pillaipakkamnatt,-,FALSE
Lorenza Saitta,+,TRUE
Usama Fayyad,-,FALSE
Jude Shavlik,+,TRUE
David Helmbold,+,TRUE
Grigoris Karakoulas,-,FALSE
Tom Hancock,+,TRUE
Drago Indjic,-,FALSE
Gary Weiss,+,TRUE
Frank Stephan,-,FALSE
Kenji Yamanishi,+,TRUE
Wan P. Chiang,+,TRUE
Yoram Singer,+,TRUE
Melinda T. Gervasio,+,TRUE
Kate Goelz,+,TRUE
Roni Khardon,+,TRUE
Nikolay Nikolaev,+,TRUE
George H. John,+,TRUE
Diana Gordon,+,TRUE
Claire Cardie,-,FALSE
Moshe Koppel,+,TRUE
Andy Bernard,+,FALSE
Marcos Salganicoff,+,TRUE
David W. Opitz,+,TRUE
Mark Changizi,+,TRUE
Lars Asker,+,TRUE
Dana Ron,+,TRUE
Andrey Burago,-,FALSE
Eddy Mayoraz,-,FALSE
Mark Schwabacher,+,TRUE
Carl H. Smith,+,TRUE
Wee Sun Lee,+,TRUE
Mario Marchand,+,TRUE
David Pierce,+,TRUE
Dan Oblinger,+,TRUE
Lyle H. Ungar,-,FALSE
Hiroshi Tanaka,+,TRUE
Johanne Morin,+,TRUE
Thomas Wengerek,-,FALSE
Mark W. Craven,+,TRUE
Tom Fawcett,+,TRUE
John R. Rose,+,TRUE
Richard A. Caruana,+,TRUE
Steven Salzberg,-,FALSE
Barak A. Pearlmutter,+,TRUE
Chris Darken,-,FALSE
Judy A. Franklin,+,TRUE
Xuemei Wang,+,TRUE
Nitin Indurkhya,+,TRUE
Oded Maron,-,FALSE
Takefumi Yamazaki,+,TRUE
Satinder Pal Singh,+,TRUE
Ron Kohavi,+,TRUE
Michael de la Maza,+,TRUE
Robert Sloan,+,TRUE
Chun-Nan Hsu,-,FALSE
Daniel Kortenkamp,+,TRUE
Ricard Gavalda,+,TRUE
Joe Suzuki,+,TRUE
James S. Royer,+,TRUE
Jyrki Kivinen,-,FALSE
Tapio Elomaa,+,TRUE
Michael Redmond,+,TRUE
Rich Maclin,+,TRUE
Jiarong Hong,+,TRUE
Janusz Wnek,+,TRUE
David B. Skalak,+,TRUE
Daniel Hennessy,+,TRUE
David Cohn,+,TRUE
Merrick L. Furst,+,TRUE
Lindley Darden,+,TRUE
Steve A. Chien,-,FALSE
Wai Lam,+,TRUE
Paul W. Goldberg,+,TRUE
Stephen Muggleton,-,FALSE
Jason Catlett,+,TRUE
Justinian Rosca,+,TRUE
Sreerama K. Murthy,-,FALSE
Richard S. Sutton,+,TRUE
Michael W. Barley,+,TRUE
Leslie Grate,+,TRUE
Nathalie Japkowicz,+,TRUE
Randolph Jones,+,TRUE
John Rachlin,+,TRUE
Moshe Leshno,+,TRUE
Emanuel Knill,-,FALSE
Sholom Weiss,-,FALSE
Darko Zupanic,+,TRUE
Thomas G. Spalthoff,-,FALSE
Michael Kearns,+,TRUE
Holly Yanco,+,TRUE
Olivier De Vel,-,FALSE
Tom Bylander,+,TRUE
Johannes Furnkranz,+,TRUE
Pat Langley,+,TRUE
Javed Aslam,+,TRUE
Jean Gabriel Ganascia,+,TRUE
Sean Slattery,+,TRUE
Michael A. meystel,+,TRUE
Brian D. Davidson,-,FALSE
David Gillman,+,TRUE
Matevz Kovacic,+,TRUE
Bala Kalyanasundaram,+,TRUE
Martin Kummer,+,TRUE
Manfred Warmuth,+,TRUE
David Mathias,+,TRUE
Brian Tester,-,FALSE
Nicolas Fiechter,+,TRUE
Aurora Perez,+,TRUE
Michael Scott,-,TRUE
Naoki Abe,+,TRUE
Kimmen Sjolander,+,TRUE
Jeffery Clouse,+,TRUE
Robert P. Daley,+,TRUE
William Gasarch,+,TRUE
Reinhard Blasig,+,TRUE
Malini Bhandaru,+,TRUE
Robert Schapire,+,TRUE
Gary M. Selzer,+,TRUE
Clare Bates Congdon,-,FALSE
Martinch Krikis,+,TRUE
John Case,+,TRUE
Lance Fortnow,+,TRUE
Lorien Y. Pratt,+,TRUE
Klaus P. Jantke,-,FALSE
Haralabos Athanassiou,+,TRUE
Bradley L. Whitehall,-,FALSE
Sridhar Mahadevan,-,FALSE
Craig Nevill-Manning,-,FALSE
Paul Fischer,+,TRUE
Hal Duncan,+,TRUE
Von-Wun Soo,+,TRUE
Bill Byrne,+,TRUE
Myriam Abramson,-,FALSE
Creed Bratton,+,FALSE
Minoru Asada,+,TRUE
Tom M. Mitchell,+,TRUE
Jean-Daniel Zucker,+,TRUE
Sonya Snedecor,+,TRUE
Glenn Silverstein,-,FALSE
Avrim Blum,-,FALSE
Scott E. Decatur,-,FALSE
Dana Angluin,+,TRUE
Wolfgang Maass,+,TRUE
Chidanand Apte,-,FALSE
Marko Grobelnik,+,TRUE
Mary Soon Lee,+,TRUE
Zhixiang Chen,-,FALSE
Mona Singh,+,TRUE
Justin Boyan,+,TRUE
Daniel L. Silver,+,TRUE
David W. Aha,+,TRUE
Robert S. Roos,+,TRUE
David Loewenstern,+,TRUE
Eric Baum,-,FALSE
John M. Zelle,+,TRUE
Arun Sharma,-,FALSE
Ronitt Rubinfeld,+,TRUE
Thomas Ellman,-,FALSE
Aaron Feigelson,+,TRUE
Harris Drucker,+,TRUE
Carla E. Brodley,+,TRUE
Alexander M. Meystel,-,FALSE
Maja Mataric,+,TRUE
Leonard Pitt,+,TRUE
Eyal Kushilevitz,-,FALSE
Long-Ji Lin,+,TRUE
Ameur Foued,-,FALSE
Antoine Cornuejols,-,FALSE
Welton Becket,+,TRUE
Haym Hirsh,+,TRUE
Hiroshi Motoda,+,TRUE
John Fischer,+,TRUE
George A. Drastal,+,TRUE
William Cohen,+,TRUE
Jing Peng,+,TRUE
Alma Whitten,-,FALSE
David Haussler,+,TRUE
Joel Ratsaby,+,TRUE
L. Thorne McCarty,-,FALSE
Chen K. Tham,-,FALSE
Kan Deng,+,TRUE
Russell Greiner,+,TRUE
Steffen Lange,-,FALSE
Andrew W. Moore,-,FALSE
Armand Prieditis,-,FALSE
Dunja Mladenic,+,TRUE
Jong-Hoon Oh,+,TRUE
Ken Lang,+,TRUE
Bernhard Pfahringer,+,TRUE
Ronald L. Rivest,+,TRUE
Robert Williamson,+,TRUE
Stuart Russell,-,FALSE
Andrew Y. Ng,-,FALSE
Efim Kinber,-,FALSE
David Finton,+,TRUE
Mark Staley,+,TRUE
Filippo Neri,+,TRUE
Jonathan Hodgson,+,TRUE
Dennis F. Kibler,+,TRUE
Michael J. Donahue,+,TRUE
